Timestamp	Question	Model	LLM_time	SQL_time	Rows	Columns	Percent_rows_equality	Percent_columns_equality	Percent_source_rows_equality	Percent_llm_rows_equality	Total_tokens	Prompt_tokens	Completion_tokens	Cost_total_EUR	Cost_input_tokens_EUR	Cost_output_tokens_EUR
2025-06-10 18:41:22	1	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0
2025-06-10 18:41:22	2	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0
2025-06-10 18:41:22	3	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0
2025-06-10 18:41:22	4	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0
2025-06-10 18:41:23	5	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0
2025-06-10 18:41:23	6	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0
2025-06-10 18:41:23	7	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0
2025-06-10 18:41:23	8	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0
2025-06-10 18:41:23	9	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0
2025-06-10 18:41:23	10	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0
